Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02 00:00:00-05:00,20904.30078125,20937.19921875,20823.599609375,20872.099609375,211253000,0.0,0.0
2024-01-03 00:00:00-05:00,20804.0,20892.099609375,20707.900390625,20818.599609375,191328700,0.0,0.0
2024-01-04 00:00:00-05:00,20820.5,20949.30078125,20793.599609375,20871.400390625,176417700,0.0,0.0
2024-01-05 00:00:00-05:00,20850.69921875,21014.80078125,20839.30078125,20937.599609375,167507900,0.0,0.0
2024-01-08 00:00:00-05:00,20917.30078125,21076.400390625,20875.19921875,21074.900390625,200466900,0.0,0.0
2024-01-09 00:00:00-05:00,21023.5,21023.5,20880.400390625,20971.0,194678700,0.0,0.0
2024-01-10 00:00:00-05:00,20965.0,21030.599609375,20965.0,20989.400390625,178595700,0.0,0.0
2024-01-11 00:00:00-05:00,20992.69921875,21023.400390625,20773.099609375,20918.400390625,195342900,0.0,0.0
2024-01-12 00:00:00-05:00,20965.69921875,21140.900390625,20957.19921875,20990.19921875,212930700,0.0,0.0
2024-01-15 00:00:00-05:00,20966.900390625,21073.599609375,20932.5,21061.900390625,83460200,0.0,0.0
2024-01-16 00:00:00-05:00,20998.69921875,21006.099609375,20843.0,20948.099609375,217215600,0.0,0.0
2024-01-17 00:00:00-05:00,20847.599609375,20847.599609375,20594.19921875,20695.0,211740300,0.0,0.0
2024-01-18 00:00:00-05:00,20725.900390625,20782.30078125,20659.0,20756.69921875,192480400,0.0,0.0
2024-01-19 00:00:00-05:00,20763.19921875,20909.099609375,20676.5,20906.5,208802400,0.0,0.0
2024-01-22 00:00:00-05:00,20930.900390625,20975.30078125,20847.099609375,20924.30078125,193396200,0.0,0.0
2024-01-23 00:00:00-05:00,20939.599609375,21042.900390625,20939.599609375,21034.599609375,173525000,0.0,0.0
2024-01-24 00:00:00-05:00,21083.599609375,21161.19921875,21019.400390625,21025.80078125,221079400,0.0,0.0
2024-01-25 00:00:00-05:00,21058.80078125,21120.69921875,21021.80078125,21101.5,177381800,0.0,0.0
2024-01-26 00:00:00-05:00,21085.0,21142.30078125,21079.900390625,21125.30078125,150909700,0.0,0.0
2024-01-29 00:00:00-05:00,21106.400390625,21213.0,21015.0,21200.099609375,188328800,0.0,0.0
2024-01-30 00:00:00-05:00,21187.900390625,21250.5,21104.0,21227.900390625,167593100,0.0,0.0
2024-01-31 00:00:00-05:00,21204.900390625,21250.900390625,21014.19921875,21021.900390625,222241000,0.0,0.0
2024-02-01 00:00:00-05:00,21065.5,21189.30078125,20980.900390625,21119.19921875,186251600,0.0,0.0
2024-02-02 00:00:00-05:00,21128.099609375,21128.099609375,20943.099609375,21085.099609375,181113800,0.0,0.0
2024-02-05 00:00:00-05:00,21053.5,21053.5,20825.599609375,20871.900390625,199398400,0.0,0.0
2024-02-06 00:00:00-05:00,20876.80078125,20978.900390625,20869.599609375,20957.69921875,151661400,0.0,0.0
2024-02-07 00:00:00-05:00,20961.599609375,20990.69921875,20900.900390625,20969.19921875,160630600,0.0,0.0
2024-02-08 00:00:00-05:00,20926.900390625,20989.80078125,20794.599609375,20919.599609375,195797300,0.0,0.0
2024-02-09 00:00:00-05:00,20942.5,21028.400390625,20891.099609375,21009.599609375,155281600,0.0,0.0
2024-02-12 00:00:00-05:00,21011.900390625,21145.80078125,21011.900390625,21067.30078125,188524700,0.0,0.0
2024-02-13 00:00:00-05:00,20861.5,20861.5,20466.5,20585.0,236175200,0.0,0.0
2024-02-14 00:00:00-05:00,20664.69921875,20890.099609375,20664.69921875,20889.400390625,199373100,0.0,0.0
2024-02-15 00:00:00-05:00,20919.900390625,21236.19921875,20919.900390625,21222.69921875,232048500,0.0,0.0
2024-02-16 00:00:00-05:00,21206.400390625,21324.0,21197.30078125,21255.599609375,195644300,0.0,0.0
2024-02-20 00:00:00-05:00,21216.19921875,21288.30078125,21183.5,21217.5,238684600,0.0,0.0
2024-02-21 00:00:00-05:00,21177.69921875,21197.400390625,21100.69921875,21172.400390625,205207700,0.0,0.0
2024-02-22 00:00:00-05:00,21260.0,21365.400390625,21260.0,21318.099609375,228936600,0.0,0.0
